Sheet,Row,Column,Cell,RawValue,Formula,CellType,Editable,Hidden,MergedRegion,Label,Purpose,DomainField,UISection,OutputTarget,Notes
Application_form,1,A,A1,"Application ID:","",s,true,false,A1:B1,"","","","","",""
Application_form,1,G,G1,"(For office use)","",s,true,false,G1:H1,"","","","","",""
Application_form,3,A,A3,"APPLICATION FORM FOR FINANCIAL ASSISTANCE UNDER PRIME MINISTERS 
EMPLOYMENT GENERATION PROGRAMME (PMEGP)","",s,true,false,A3:I3,"","","","","",""
Application_form,21,T,T21,"Khadi & V.I. Commission","",s,true,false,,"","","","","",""
Application_form,22,T,T22,"Khadi & V.I.Board","",s,true,false,,"","","","","",""
Application_form,23,T,T23,"District Industries Center","",s,true,false,,"","","","","",""
Application_form,24,T,T24,"District Industries Center","",s,true,false,,"","","","","",""
Application_form,54,A,A54,"12","",n,true,false,,"","","","","",""
Application_form,54,B,B54,"Name of the project / business activity proposed :","",s,true,false,B54:G54,"","","","","",""
Application_form,56,A,A56,"13","",n,true,false,,"","","","","",""
Application_form,56,B,B56,"Amount of loan required (in Rs.)","",s,true,false,B56:E56,"","","","","",""
Application_form,57,B,B57,"Building Type","",s,true,false,B57:B58,"","","","","",""
Application_form,57,C,C57,"Capital Expenditure Loan","",s,true,false,C57:E57,"","","","","",""
Application_form,58,C,C58,"Workshed
Building etc.","",s,true,false,,"","","","","",""
Application_form,58,D,D58,"Machinery/ 
Equipment/Furniture","",s,true,false,,"","","","","",""
Application_form,58,E,E58,"Pre
 Operative
Cost","",s,true,false,,"","","","","",""
Application_form,58,F,F58,"Working 
Capital /
 Cash Credit
 Limit","",s,true,false,,"","","","","",""
Application_form,58,G,G58,"Total","",s,true,false,,"","","","","",""
Application_form,59,B,B59,"Rented","INDEX(DataSheet!L91:L93,DataSheet!M91,B1)",s,false,false,,"","","","","",""
Application_form,59,C,C59,"0","DataSheet!H48",n,false,false,,"","","","","",""
Application_form,59,D,D59,"0","DataSheet!H67+DataSheet!H72",n,false,false,,"","","","","",""
Application_form,59,E,E59,"0","DataSheet!H70+DataSheet!H74",n,false,false,,"","","","","",""
Application_form,59,F,F59,"0","DataSheet!H76",n,false,false,,"","","","","",""
Application_form,59,G,G59,"0","SUM(C59:F59)",n,false,false,,"","","","","",""
Application_form,60,A,A60,"14","",n,true,false,,"","","","","",""
Application_form,60,B,B60,"Details of earlier or current Loan/Grant and subsidy availed from Central/State Govt. Scheme/ or any other Similar Scheme.","",s,true,false,B60:G60,"","","","","",""
Application_form,61,B,B61,"Activity of the Project with Address","",s,true,false,B61:D61,"","","","","",""
Application_form,61,E,E61,"Amount","",s,true,false,,"","","","","",""
Application_form,61,F,F61,"Year of Sanction","",s,true,false,F61:G61,"","","","","",""
Application_form,63,B,B63,"I certify that all information furnished by me is true; and that I and any of my dependent have not borrowed any money under subsidy linked scheme from any Central / State Government or bank for establishing any such project","",s,true,false,B63:I63,"","","","","",""
Application_form,65,B,B65,"Place:","",s,true,false,,"","","","","",""
Application_form,66,B,B66,"Date:","",s,true,false,,"","","","","",""
Application_form,66,G,G66,"Signature of the Applicant","",s,true,false,G66:I66,"","","","","",""
Application_form,68,B,B68,"For Official Use only:","",s,true,false,B68:C68,"","","","","",""
Application_form,68,D,D68,"(Rejected / to be placed before District Task force Committee)","",s,true,false,D68:I68,"","","","","",""
Application_form,69,B,B69,"Reason (if Rejected):","",s,true,false,B69:C69,"","","","","",""
Application_form,72,B,B72,"Place:","",s,true,false,,"","","","","",""
Application_form,72,F,F72,"Signature, Name & Designation of Officer","",s,true,false,F72:I72,"","","","","",""
Application_form,73,B,B73,"Date:","",s,true,false,,"","","","","",""
Application_form,76,B,B76,"NOTE","",s,true,false,B76:I76,"","","","","",""
Application_form,77,B,B77,"• Own contribution must be invested 5% for SC/ST/OBC/PHC/woman/ Ex-serviceman/ North East Reason/Hill Boarder Area and 10% for General 
• Total Project Cost should not exceed 25 lakhs for Manufacturing unit and 10 lakhs for service unit.
• Applicant will not be entitled  for additional  Margin Money(Subsidy) in case of Own Contribution  over and above the prescribed limit.
• VIIIth  pass for Manufacturing Unit above Rs.10 lakhs project cost and under Service Sector above  Rs.5 lakhs 
• Application should be submitted complete in all respect along with attested  copies of the following documents:
1. Certificate of qualification-academic and technical (if  project cost above 5 lakhs under service industry  or above 10 lakhs under Manufacturing industry)
2. Relevant Certificate for SC/ST/OBC/Minority/Ex-Servicemen/PHC
3. if Entrepreneur Development programme(EDP) training undergone (at least for two weeks) then submit photocopy of the certificate
","",s,true,false,B77:I77,"","","","","",""
DataSheet,1,A,A1,"DATA INPUT SHEET","",s,true,false,A1:I1,"","","","","",""
DataSheet,5,A,A5,"Preference for sponsoring agency of the project :","",s,true,false,A5:G5,"","","","","",""
DataSheet,5,H,H5,"(mark √ )","",s,true,false,H5:I5,"","","","","",""
DataSheet,6,A,A6," Unit Location (As per revenue record) :","",s,true,false,A6:G6,"","","","","",""
DataSheet,6,H,H6,"(mark √ )","",s,true,false,H6:I6,"","","","","",""
DataSheet,7,B,B7,"KVIC","",s,true,false,,"","","","","",""
DataSheet,7,C,C7,"√","IF(DataSheet!M59=1,""√"","" "")",s,false,false,,"","","","","",""
DataSheet,7,D,D7,"KVIB","",s,true,false,,"","","","","",""
DataSheet,7,E,E7," ","IF(DataSheet!M59=2,""√"","" "")",s,false,false,,"","","","","",""
DataSheet,7,F,F7,"DIC","",s,true,false,,"","","","","",""
DataSheet,7,G,G7," ","IF(DataSheet!M59=3,""√"","" "")",s,false,false,,"","","","","",""
DataSheet,7,H,H7,"  COIR Board","",s,true,false,,"","","","","",""
DataSheet,7,J,J7," ","IF(DataSheet!M59=4,""√"","" "")",s,false,false,,"","","","","",""
